date,hour,rides
2022-01-17,11,570
2022-01-17,12,611
2022-01-17,13,631
2022-01-17,14,614
2022-01-17,15,654
2022-01-17,16,658
2022-01-17,17,658
2022-01-17,18,536
2022-01-17,19,541
2022-01-17,20,445
2022-01-17,21,277
2022-01-17,22,226
2022-01-17,23,180
2022-01-18,0,121
2022-01-18,1,90
2022-01-18,2,60
2022-01-18,3,30
2022-01-18,4,34
2022-01-18,5,90
2022-01-18,6,167
2022-01-18,7,369
2022-01-18,8,572
2022-01-18,9,642
2022-01-18,10,671
2022-01-18,11,747
2022-01-18,12,762
2022-01-18,13,744
2022-01-18,14,756
2022-01-18,15,729
2022-01-18,16,756
2022-01-18,17,765
2022-01-18,18,634
2022-01-18,19,516
2022-01-18,20,402
2022-01-18,21,237
2022-01-18,22,216
2022-01-18,23,175
2022-01-19,0,115
2022-01-19,1,48
2022-01-19,2,33
2022-01-19,3,26
2022-01-19,4,46
2022-01-19,5,81
2022-01-19,6,197
2022-01-19,7,349
2022-01-19,8,571
2022-01-19,9,645
2022-01-19,10,657
2022-01-19,11,644
2022-01-19,12,757
2022-01-19,13,697
2022-01-19,14,776
2022-01-19,15,789
2022-01-19,16,780
2022-01-19,17,791
2022-01-19,18,721
2022-01-19,19,599
2022-01-19,20,436
2022-01-19,21,318
2022-01-19,22,271
2022-01-19,23,196
2022-01-20,0,136
2022-01-20,1,78
2022-01-20,2,35
2022-01-20,3,33
2022-01-20,4,45
2022-01-20,5,92
2022-01-20,6,171
2022-01-20,7,395
2022-01-20,8,640
2022-01-20,9,676
2022-01-20,10,622
2022-01-20,11,656
2022-01-20,12,693
2022-01-20,13,708
2022-01-20,14,761
2022-01-20,15,749
2022-01-20,16,747
2022-01-20,17,902
2022-01-20,18,791
2022-01-20,19,651
2022-01-20,20,478
2022-01-20,21,402
2022-01-20,22,325
2022-01-20,23,249
2022-01-21,0,156
2022-01-21,1,95
2022-01-21,2,49
2022-01-21,3,46
2022-01-21,4,52
2022-01-21,5,77
2022-01-21,6,176
2022-01-21,7,377
2022-01-21,8,547
2022-01-21,9,606
2022-01-21,10,615
2022-01-21,11,680
2022-01-21,12,696
2022-01-21,13,680
2022-01-21,14,780
2022-01-21,15,787
2022-01-21,16,783
2022-01-21,17,828
2022-01-21,18,804
2022-01-21,19,757
2022-01-21,20,512
2022-01-21,21,351
2022-01-21,22,361
2022-01-21,23,303
2022-01-22,0,251
2022-01-22,1,207
2022-01-22,2,182
2022-01-22,3,132
2022-01-22,4,122
2022-01-22,5,75
2022-01-22,6,87
2022-01-22,7,139
2022-01-22,8,207
2022-01-22,9,297
2022-01-22,10,404
2022-01-22,11,476
2022-01-22,12,470
2022-01-22,13,513
2022-01-22,14,554
2022-01-22,15,572
2022-01-22,16,571
2022-01-22,17,560
2022-01-22,18,595
2022-01-22,19,521
2022-01-22,20,456
2022-01-22,21,305
2022-01-22,22,291
2022-01-22,23,336
2022-01-23,0,353
2022-01-23,1,294
2022-01-23,2,213
2022-01-23,3,138
2022-01-23,4,101
2022-01-23,5,83
2022-01-23,6,86
2022-01-23,7,149
2022-01-23,8,181
2022-01-23,9,231
2022-01-23,10,319
2022-01-23,11,344
2022-01-23,12,387
2022-01-23,13,491
2022-01-23,14,486
2022-01-23,15,446
2022-01-23,16,434
2022-01-23,17,491
2022-01-23,18,485
2022-01-23,19,478
2022-01-23,20,425
2022-01-23,21,427
2022-01-23,22,307
2022-01-23,23,246
2022-01-24,0,202
2022-01-24,1,124
2022-01-24,2,55
2022-01-24,3,38
2022-01-24,4,61
2022-01-24,5,98
2022-01-24,6,202
2022-01-24,7,364
2022-01-24,8,529
2022-01-24,9,601
2022-01-24,10,635
2022-01-24,11,656
2022-01-24,12,696
2022-01-24,13,680
2022-01-24,14,771
2022-01-24,15,782
2022-01-24,16,775
2022-01-24,17,819
2022-01-24,18,706
2022-01-24,19,547
2022-01-24,20,396
2022-01-24,21,292
2022-01-24,22,231
2022-01-24,23,165
2022-01-25,0,104
2022-01-25,1,68
2022-01-25,2,38
2022-01-25,3,31
2022-01-25,4,42
2022-01-25,5,93
2022-01-25,6,216
2022-01-25,7,465
2022-01-25,8,671
2022-01-25,9,730
2022-01-25,10,610
2022-01-25,11,655
2022-01-25,12,697
2022-01-25,13,710
2022-01-25,14,732
2022-01-25,15,767
2022-01-25,16,813
2022-01-25,17,886
2022-01-25,18,801
2022-01-25,19,617
2022-01-25,20,390
2022-01-25,21,301
2022-01-25,22,239
2022-01-25,23,161
2022-01-26,0,113
2022-01-26,1,43
2022-01-26,2,30
2022-01-26,3,26
2022-01-26,4,41
2022-01-26,5,100
2022-01-26,6,223
2022-01-26,7,499
2022-01-26,8,736
2022-01-26,9,691
2022-01-26,10,667
2022-01-26,11,621
2022-01-26,12,711
2022-01-26,13,708
2022-01-26,14,746
2022-01-26,15,720
2022-01-26,16,834
2022-01-26,17,934
2022-01-26,18,859
2022-01-26,19,680
2022-01-26,20,454
2022-01-26,21,364
2022-01-26,22,290
2022-01-26,23,185
2022-01-27,0,110
2022-01-27,1,57
2022-01-27,2,43
2022-01-27,3,41
2022-01-27,4,51
2022-01-27,5,96
2022-01-27,6,218
2022-01-27,7,434
2022-01-27,8,649
2022-01-27,9,697
2022-01-27,10,653
2022-01-27,11,747
2022-01-27,12,750
2022-01-27,13,733
2022-01-27,14,810
2022-01-27,15,866
2022-01-27,16,927
2022-01-27,17,1049
2022-01-27,18,898
2022-01-27,19,738
2022-01-27,20,555
2022-01-27,21,469
2022-01-27,22,363
2022-01-27,23,267
2022-01-28,0,169
2022-01-28,1,96
2022-01-28,2,48
2022-01-28,3,43
2022-01-28,4,48
2022-01-28,5,99
2022-01-28,6,176
2022-01-28,7,376
2022-01-28,8,550
2022-01-28,9,573
2022-01-28,10,580
2022-01-28,11,596
2022-01-28,12,686
2022-01-28,13,709
2022-01-28,14,727
2022-01-28,15,779
2022-01-28,16,888
2022-01-28,17,997
2022-01-28,18,1009
2022-01-28,19,1041
2022-01-28,20,692
2022-01-28,21,543
2022-01-28,22,510
2022-01-28,23,419
2022-01-29,0,380
2022-01-29,1,354
2022-01-29,2,230
2022-01-29,3,161
2022-01-29,4,113
2022-01-29,5,98
2022-01-29,6,104
2022-01-29,7,147
2022-01-29,8,233
2022-01-29,9,302
2022-01-29,10,438
2022-01-29,11,478
2022-01-29,12,535
2022-01-29,13,536
2022-01-29,14,530
2022-01-29,15,579
2022-01-29,16,598
2022-01-29,17,626
2022-01-29,18,631
2022-01-29,19,634
2022-01-29,20,449
2022-01-29,21,343
2022-01-29,22,396
2022-01-29,23,443
2022-01-30,0,370
2022-01-30,1,329
2022-01-30,2,294
2022-01-30,3,157
2022-01-30,4,115
2022-01-30,5,91
2022-01-30,6,113
2022-01-30,7,143
2022-01-30,8,156
2022-01-30,9,235
2022-01-30,10,323
2022-01-30,11,336
2022-01-30,12,420
2022-01-30,13,503
2022-01-30,14,532
2022-01-30,15,468
2022-01-30,16,425
2022-01-30,17,498
2022-01-30,18,526
2022-01-30,19,524
2022-01-30,20,455
2022-01-30,21,371
2022-01-30,22,279
2022-01-30,23,235
2022-01-31,0,132
2022-01-31,1,81
2022-01-31,2,30
2022-01-31,3,19
2022-01-31,4,34
2022-01-31,5,51
2022-01-31,6,119
2022-01-31,7,258
2022-01-31,8,348
2022-01-31,9,344
2022-01-31,10,380
2022-01-31,11,379
2022-01-31,12,425
2022-01-31,13,411
2022-01-31,14,449
2022-01-31,15,459
2022-01-31,16,455
2022-01-31,17,454
2022-01-31,18,404
2022-01-31,19,347
2022-01-31,20,240
2022-01-31,21,169
2022-01-31,22,120
