date,hour,rides
1/21/2022,0,156
1/21/2022,1,95
1/21/2022,2,49
1/21/2022,3,46
1/21/2022,4,52
1/21/2022,5,77
1/21/2022,6,176
1/21/2022,7,377
1/21/2022,8,547
1/21/2022,9,606
1/21/2022,10,615
1/21/2022,11,680
1/21/2022,12,696
1/21/2022,13,680
1/21/2022,14,780
1/21/2022,15,787
1/21/2022,16,783
1/21/2022,17,828
1/21/2022,18,804
1/21/2022,19,757
1/21/2022,20,512
1/21/2022,21,351
1/21/2022,22,361
1/21/2022,23,303
1/22/2022,0,251
1/22/2022,1,207
1/22/2022,2,182
1/22/2022,3,132
1/22/2022,4,122
1/22/2022,5,75
1/22/2022,6,87
1/22/2022,7,139
1/22/2022,8,207
1/22/2022,9,297
1/22/2022,10,404
1/22/2022,11,476
1/22/2022,12,470
1/22/2022,13,513
1/22/2022,14,554
1/22/2022,15,572
1/22/2022,16,571
1/22/2022,17,560
1/22/2022,18,595
1/22/2022,19,521
1/22/2022,20,456
1/22/2022,21,305
1/22/2022,22,291
1/22/2022,23,336
1/23/2022,0,353
1/23/2022,1,294
1/23/2022,2,213
1/23/2022,3,138
1/23/2022,4,101
1/23/2022,5,83
1/23/2022,6,86
1/23/2022,7,149
1/23/2022,8,181
1/23/2022,9,231
1/23/2022,10,319
1/23/2022,11,344
1/23/2022,12,387
1/23/2022,13,491
1/23/2022,14,486
1/23/2022,15,446
1/23/2022,16,434
1/23/2022,17,491
1/23/2022,18,485
1/23/2022,19,478
1/23/2022,20,425
1/23/2022,21,427
1/23/2022,22,307
1/23/2022,23,246
1/24/2022,0,202
1/24/2022,1,124
1/24/2022,2,55
1/24/2022,3,38
1/24/2022,4,61
1/24/2022,5,98
1/24/2022,6,202
1/24/2022,7,364
1/24/2022,8,529
1/24/2022,9,601
1/24/2022,10,635
1/24/2022,11,656
1/24/2022,12,696
1/24/2022,13,680
1/24/2022,14,771
1/24/2022,15,782
1/24/2022,16,775
1/24/2022,17,819
1/24/2022,18,706
1/24/2022,19,547
1/24/2022,20,396
1/24/2022,21,292
1/24/2022,22,231
1/24/2022,23,165
1/25/2022,0,104
1/25/2022,1,68
1/25/2022,2,38
1/25/2022,3,31
1/25/2022,4,42
1/25/2022,5,93
1/25/2022,6,216
1/25/2022,7,465
1/25/2022,8,671
1/25/2022,9,730
1/25/2022,10,610
1/25/2022,11,655
1/25/2022,12,697
1/25/2022,13,710
1/25/2022,14,732
1/25/2022,15,767
1/25/2022,16,813
1/25/2022,17,886
1/25/2022,18,801
1/25/2022,19,617
1/25/2022,20,390
1/25/2022,21,301
1/25/2022,22,239
1/25/2022,23,161
1/26/2022,0,113
1/26/2022,1,43
1/26/2022,2,30
1/26/2022,3,26
1/26/2022,4,41
1/26/2022,5,100
1/26/2022,6,223
1/26/2022,7,499
1/26/2022,8,736
1/26/2022,9,691
1/26/2022,10,667
1/26/2022,11,621
1/26/2022,12,711
1/26/2022,13,708
1/26/2022,14,746
1/26/2022,15,720
1/26/2022,16,834
1/26/2022,17,934
1/26/2022,18,859
1/26/2022,19,680
1/26/2022,20,454
1/26/2022,21,364
1/26/2022,22,290
1/26/2022,23,185
1/27/2022,0,110
1/27/2022,1,57
1/27/2022,2,43
1/27/2022,3,41
1/27/2022,4,51
1/27/2022,5,96
1/27/2022,6,218
1/27/2022,7,434
1/27/2022,8,649
1/27/2022,9,697
1/27/2022,10,653
1/27/2022,11,747
1/27/2022,12,750
1/27/2022,13,733
1/27/2022,14,810
1/27/2022,15,866
1/27/2022,16,927
1/27/2022,17,1049
1/27/2022,18,898
1/27/2022,19,738
1/27/2022,20,555
1/27/2022,21,469
1/27/2022,22,363
1/27/2022,23,267
1/28/2022,0,169
1/28/2022,1,96
1/28/2022,2,48
1/28/2022,3,43
1/28/2022,4,48
1/28/2022,5,99
1/28/2022,6,176
1/28/2022,7,376
1/28/2022,8,550
1/28/2022,9,573
1/28/2022,10,580
1/28/2022,11,596
1/28/2022,12,686
1/28/2022,13,709
1/28/2022,14,727
1/28/2022,15,779
1/28/2022,16,888
1/28/2022,17,997
1/28/2022,18,1009
1/28/2022,19,1041
1/28/2022,20,692
1/28/2022,21,543
1/28/2022,22,510
1/28/2022,23,419
1/29/2022,0,380
1/29/2022,1,354
1/29/2022,2,230
1/29/2022,3,161
1/29/2022,4,113
1/29/2022,5,98
1/29/2022,6,104
1/29/2022,7,147
1/29/2022,8,233
1/29/2022,9,302
1/29/2022,10,438
1/29/2022,11,478
1/29/2022,12,535
1/29/2022,13,536
1/29/2022,14,530
1/29/2022,15,579
1/29/2022,16,598
1/29/2022,17,626
1/29/2022,18,631
1/29/2022,19,634
1/29/2022,20,449
1/29/2022,21,343
1/29/2022,22,396
1/29/2022,23,443
1/30/2022,0,370
1/30/2022,1,329
1/30/2022,2,294
1/30/2022,3,157
1/30/2022,4,115
1/30/2022,5,91
1/30/2022,6,113
1/30/2022,7,143
1/30/2022,8,156
1/30/2022,9,235
1/30/2022,10,323
1/30/2022,11,336
1/30/2022,12,420
1/30/2022,13,503
1/30/2022,14,532
1/30/2022,15,468
1/30/2022,16,425
1/30/2022,17,498
1/30/2022,18,526
1/30/2022,19,524
1/30/2022,20,455
1/30/2022,21,371
1/30/2022,22,279
1/30/2022,23,235
1/31/2022,0,132
1/31/2022,1,81
1/31/2022,2,30
1/31/2022,3,19
1/31/2022,4,34
1/31/2022,5,51
1/31/2022,6,119
1/31/2022,7,258
1/31/2022,8,348
1/31/2022,9,344
1/31/2022,10,380
1/31/2022,11,379
1/31/2022,12,425
1/31/2022,13,411
1/31/2022,14,449
1/31/2022,15,459
1/31/2022,16,455
1/31/2022,17,454
1/31/2022,18,404
1/31/2022,19,347
1/31/2022,20,240
1/31/2022,21,169
1/31/2022,22,120
1/31/2022,23,105
2/1/2022,0,116
2/1/2022,1,72
2/1/2022,2,43
2/1/2022,3,36
2/1/2022,4,47
2/1/2022,5,85
2/1/2022,6,195
2/1/2022,7,454
2/1/2022,8,687
2/1/2022,9,731
2/1/2022,10,720
2/1/2022,11,805
2/1/2022,12,800
2/1/2022,13,861
2/1/2022,14,900
2/1/2022,15,893
2/1/2022,16,1003
2/1/2022,17,947
2/1/2022,18,913
2/1/2022,19,636
2/1/2022,20,437
2/1/2022,21,314
2/1/2022,22,276
2/1/2022,23,204
2/2/2022,0,123
2/2/2022,1,48
2/2/2022,2,27
2/2/2022,3,19
2/2/2022,4,37
2/2/2022,5,76
2/2/2022,6,140
2/2/2022,7,261
2/2/2022,8,355
2/2/2022,9,309
2/2/2022,10,374
2/2/2022,11,374
2/2/2022,12,399
2/2/2022,13,384
2/2/2022,14,427
2/2/2022,15,466
2/2/2022,16,416
2/2/2022,17,523
2/2/2022,18,578
2/2/2022,19,497
2/2/2022,20,391
2/2/2022,21,347
2/2/2022,22,338
2/2/2022,23,245
2/3/2022,0,143
2/3/2022,1,70
2/3/2022,2,37
2/3/2022,3,38
2/3/2022,4,43
2/3/2022,5,82
2/3/2022,6,201
2/3/2022,7,393
2/3/2022,8,563
2/3/2022,9,579
2/3/2022,10,577
2/3/2022,11,625
2/3/2022,12,643
2/3/2022,13,626
2/3/2022,14,650
2/3/2022,15,794
2/3/2022,16,841
2/3/2022,17,926
2/3/2022,18,851
2/3/2022,19,712
2/3/2022,20,468
2/3/2022,21,422
2/3/2022,22,379
2/3/2022,23,302
2/4/2022,0,195
2/4/2022,1,95
2/4/2022,2,70
2/4/2022,3,31
2/4/2022,4,65
2/4/2022,5,110
2/4/2022,6,229
2/4/2022,7,450
2/4/2022,8,665
2/4/2022,9,687
2/4/2022,10,647
2/4/2022,11,715
2/4/2022,12,727
2/4/2022,13,750
2/4/2022,14,859
2/4/2022,15,959
2/4/2022,16,967
2/4/2022,17,1116
2/4/2022,18,1160
2/4/2022,19,1088
2/4/2022,20,771
2/4/2022,21,520
2/4/2022,22,551
2/4/2022,23,494
2/5/2022,0,411
2/5/2022,1,346
2/5/2022,2,234
2/5/2022,3,154
2/5/2022,4,111
2/5/2022,5,81
2/5/2022,6,123
2/5/2022,7,163
2/5/2022,8,219
2/5/2022,9,317
2/5/2022,10,446
2/5/2022,11,526
2/5/2022,12,558
2/5/2022,13,674
2/5/2022,14,607
2/5/2022,15,651
2/5/2022,16,642
2/5/2022,17,745
2/5/2022,18,869
2/5/2022,19,907
2/5/2022,20,600
2/5/2022,21,427
2/5/2022,22,497
2/5/2022,23,524
2/6/2022,0,495
2/6/2022,1,387
2/6/2022,2,316
2/6/2022,3,198
2/6/2022,4,128
2/6/2022,5,111
2/6/2022,6,104
2/6/2022,7,164
2/6/2022,8,208
2/6/2022,9,277
2/6/2022,10,336
2/6/2022,11,412
2/6/2022,12,474
2/6/2022,13,505
2/6/2022,14,535
2/6/2022,15,520
2/6/2022,16,500
2/6/2022,17,552
2/6/2022,18,543
2/6/2022,19,555
2/6/2022,20,457
2/6/2022,21,343
2/6/2022,22,294
2/6/2022,23,243
2/7/2022,0,197
2/7/2022,1,140
2/7/2022,2,88
2/7/2022,3,56
2/7/2022,4,78
2/7/2022,5,97
2/7/2022,6,212
2/7/2022,7,494
2/7/2022,8,702
2/7/2022,9,714
2/7/2022,10,739
2/7/2022,11,732
2/7/2022,12,749
2/7/2022,13,736
2/7/2022,14,778
2/7/2022,15,813
2/7/2022,16,895
2/7/2022,17,913
2/7/2022,18,807
2/7/2022,19,665
2/7/2022,20,464
2/7/2022,21,334
2/7/2022,22,291
2/7/2022,23,196
2/8/2022,0,151
2/8/2022,1,80
2/8/2022,2,39
2/8/2022,3,30
2/8/2022,4,46
2/8/2022,5,83
2/8/2022,6,208
2/8/2022,7,442
2/8/2022,8,741
2/8/2022,9,758
2/8/2022,10,725
2/8/2022,11,744
2/8/2022,12,869
2/8/2022,13,804
2/8/2022,14,843
2/8/2022,15,921
2/8/2022,16,958
2/8/2022,17,978
2/8/2022,18,901
2/8/2022,19,716
2/8/2022,20,501
2/8/2022,21,363
2/8/2022,22,320
2/8/2022,23,245
2/9/2022,0,119
2/9/2022,1,60
2/9/2022,2,35
2/9/2022,3,33
2/9/2022,4,47
2/9/2022,5,95
2/9/2022,6,219
2/9/2022,7,467
2/9/2022,8,738
2/9/2022,9,769
2/9/2022,10,721
2/9/2022,11,759
2/9/2022,12,793
2/9/2022,13,849
2/9/2022,14,826
2/9/2022,15,858
2/9/2022,16,944
2/9/2022,17,996
2/9/2022,18,906
2/9/2022,19,738
2/9/2022,20,524
2/9/2022,21,381
2/9/2022,22,308
2/9/2022,23,222
2/10/2022,0,154
2/10/2022,1,76
2/10/2022,2,42
2/10/2022,3,32
2/10/2022,4,47
2/10/2022,5,94
2/10/2022,6,222
2/10/2022,7,460
2/10/2022,8,709
2/10/2022,9,701
2/10/2022,10,745
2/10/2022,11,790
2/10/2022,12,831
2/10/2022,13,807
2/10/2022,14,902
2/10/2022,15,915
2/10/2022,16,958
2/10/2022,17,1075
2/10/2022,18,1021
2/10/2022,19,897
2/10/2022,20,588
2/10/2022,21,449
2/10/2022,22,434
2/10/2022,23,300
2/11/2022,0,206
2/11/2022,1,108
2/11/2022,2,56
2/11/2022,3,49
2/11/2022,4,56
2/11/2022,5,97
2/11/2022,6,200
2/11/2022,7,450
2/11/2022,8,641
2/11/2022,9,646
2/11/2022,10,710
2/11/2022,11,752
2/11/2022,12,765
2/11/2022,13,784
2/11/2022,14,873
2/11/2022,15,935
2/11/2022,16,1005
2/11/2022,17,1040
2/11/2022,18,1175
2/11/2022,19,1048
2/11/2022,20,665
2/11/2022,21,536
2/11/2022,22,536
2/11/2022,23,438
2/12/2022,0,393
2/12/2022,1,360
2/12/2022,2,253
2/12/2022,3,158
2/12/2022,4,122
2/12/2022,5,79
2/12/2022,6,112
2/12/2022,7,145
2/12/2022,8,233
2/12/2022,9,314
2/12/2022,10,441
2/12/2022,11,524
2/12/2022,12,603
2/12/2022,13,644
2/12/2022,14,645
2/12/2022,15,655
2/12/2022,16,678
2/12/2022,17,785
2/12/2022,18,821
2/12/2022,19,710
2/12/2022,20,587
2/12/2022,21,455
2/12/2022,22,523
2/12/2022,23,462
2/13/2022,0,435
2/13/2022,1,307
2/13/2022,2,234
2/13/2022,3,164
2/13/2022,4,131
2/13/2022,5,95
2/13/2022,6,117
2/13/2022,7,157
2/13/2022,8,184
2/13/2022,9,276
2/13/2022,10,390
2/13/2022,11,434
2/13/2022,12,513
2/13/2022,13,496
2/13/2022,14,592
2/13/2022,15,642
2/13/2022,16,747
2/13/2022,17,773
2/13/2022,18,615
2/13/2022,19,471
2/13/2022,20,454
2/13/2022,21,466
2/13/2022,22,469
2/13/2022,23,245
2/14/2022,0,195
2/14/2022,1,140
2/14/2022,2,70
2/14/2022,3,47
2/14/2022,4,75
2/14/2022,5,105
2/14/2022,6,255
2/14/2022,7,479
2/14/2022,8,681
2/14/2022,9,722
2/14/2022,10,790
2/14/2022,11,755
2/14/2022,12,763
2/14/2022,13,785
2/14/2022,14,827
2/14/2022,15,908
2/14/2022,16,959
2/14/2022,17,1071
2/14/2022,18,1079
2/14/2022,19,841
2/14/2022,20,557
2/14/2022,21,507
2/14/2022,22,404
2/14/2022,23,249
2/15/2022,0,205
2/15/2022,1,120
2/15/2022,2,84
2/15/2022,3,60
2/15/2022,4,57
2/15/2022,5,101
2/15/2022,6,253
2/15/2022,7,533
2/15/2022,8,799
2/15/2022,9,846
2/15/2022,10,817
2/15/2022,11,748
2/15/2022,12,825
2/15/2022,13,856
2/15/2022,14,893
2/15/2022,15,902
2/15/2022,16,976
